"零","零 ０ 〇 ゼロ n:  (See 零・れい) zero/nought/(P)
零 ０ 〇 れい n:  zero/nought/(P)"
"お握り","お握り 御握り おにぎり n:  (uk) (pol) onigiri/rice ball (often triangular, sometimes with a filling and wrapped in nori)/(P)"
"お医者さん","お医者さん 御医者さん おいしゃさん n:  (pol) doctor/(P)"
"お陰で","お陰で 御蔭で 御陰で お蔭で おかげで exp:  (uk) (See お蔭・おかげ・3) thanks to .../owing to .../because of .../(P)"
"お化け","お化け 御化け おばけ n:    goblin/monster/demon/  ghost/apparition/  something that's unusually large/(P)"
"お菓子","お菓子 御菓子 おかし n:  confections/sweets/candy/(P)"
"お願い","お願い 御願い おねがい n vs:    (pol) (See 願い・2) request/favour (to ask)/wish/(int)   (See お願いします) please/(P)"
"お願いします","お願いします 御願いします おねがいします exp:  (hum) please/(P)"
"お気に入り","お気に入り 御気に入り おきにいり exp adj-no:    (See 気に入り) favorite/favourite/pet (e.g. teacher's pet)/(exp)   bookmark (in web browser)/(P)"
"お客さん","お客さん 御客さん おきゃくさん n:    (hon) guest/visitor/  (hon) customer/client/shopper/spectator/audience/tourist/sightseer/passenger"
"お客様","お客様 お客さま 御客様 御客さま おきゃくさま n:    (hon) guest/visitor/  (hon) customer/client/shopper/spectator/audience/tourist/sightseer/passenger/(P)"
"お金","お金 御金 おかね n:  (pol) (See 金・かね・1) money/(P)"
"お金持ち","お金持ち  おかねもち n:  (See 金持ち) rich person"
"お兄さん","お兄さん 御兄さん おにいさん n:    (hon) (See 兄さん・1) older brother/elder brother/  (vocative) (See 兄さん・3) young man/buddy/fella/laddie/(P)"
"お見舞い","お見舞い 御見舞 御見舞い お見舞 おみまい n:  (See 見舞い) calling on someone who is ill/enquiry/inquiry"
"お互い","お互い 御互い おたがい n adj-no adv:  (pol) (See 互い) each other/one another"
"お好み焼き","お好み焼き 御好み焼き 御好み焼 お好み焼 おこのみやき n:  okonomiyaki/savoury pancake containing meat or seafood and vegetables"
"お構いなく","お構いなく 御構いなく お構い無く 御構い無く おかまいなく exp:  (pol) please don't fuss over me/don't go to any trouble/don't bother"
"お絞り","お絞り 御絞り おしぼり n:  (uk) wet towel (supplied at table)/hot, moistened hand towel/(P)"
"お歳暮","お歳暮 御歳暮 おせいぼ n:    (See 歳暮・1,お中元) year-end gift/  (See 歳暮・せいぼ・2) end of the year/year end/(P)"
"お参り","お参り 御参り おまいり n vs:  visit (to a shrine, grave, etc.)/worship/(P)"
"お姉さん","お姉さん 御姉さん お姐さん 御姐さん おねえさん n:    (hon) (usu. お姉さん) (See 姉さん・1) older sister/elder sister/  (vocative) (See 姉さん・2) young lady/  (referring to a waitress, etc.; usu. お姐さん) (See 姉さん・3) miss/  (used by geisha to refer to their superiors; usu. お姐さん) (See 姉さん・4) ma'am/  older girl/(P)"
"お辞儀","お辞儀 御辞儀 おじぎ n vs:  (pol) (See 辞儀・1) bow/bowing/(P)"
"お守り","お守り 御守 お守 御守り おまもり n:  charm/amulet/(P)
お守り 御守 お守 御守り おもり n vs:    (See 子守り) babysitting/babysitter/  taking care of/assisting/assistant/helper"
"お手洗い","お手洗い 御手洗い おてあらい n:  toilet/restroom/lavatory/bathroom/(P)"
"お手伝い","お手伝い 御手伝い おてつだい n:    (See お手伝いさん) maid/helper/(n,vs)   help/assistance/(P)"
"お手伝いさん","お手伝いさん 御手伝いさん おてつだいさん n:  maid/(P)"
"お酒","お酒 御酒 おさけ ごしゅ n:  (pol) (See 酒) alcohol/sake"
"お祝い","お祝い お祝 御祝い 御祝 おいわい n vs:  (hon) (See 祝い) congratulation/congratulations/celebration/festival/congratulatory gift/(P)"
"お出で","お出で 御出で おいで n:    (hon) (uk) (See お出でになる) coming/going/being (somewhere)/(exp)   (col) (abbr) (uk) (used as an imperative, usu. to children and one's inferiors) come/go/stay"
"お巡りさん","お巡りさん 御巡りさん おまわりさん n:  (fam) (uk) (See 巡査) police officer/(P)"
"お笑い","お笑い 御笑い おわらい n:    comical (story, song)/comic/  the comedy business (rakugo, manzai, etc.)/  something laughable"
"お嬢さん","お嬢さん 御嬢さん おじょうさん n:    (pol) (See お嬢様・1) (another's) daughter/  young lady/(P)"
"お尻","お尻 御尻 おしり オシリ n:  (pol) bottom/buttocks"
"お神興","お神興 お神輿 お御輿 御神輿 おみこし n:    (pol) (See 御輿・1) portable shrine (carried in festivals)/  (uk) (See 腰・こし・1) buttocks/lower back/waist/hips/(P)"
"お世辞","お世辞 御世辞 おせじ おせいじ n:  (See 世辞) flattery/compliment/(P)"
"お節介","お節介 御節介 おせっかい adj-na n:    (uk) (See 節介) meddling/meddlesomeness/nosiness/interference/officiousness/(n)   (uk) meddler/buttinsky/busybody/(P)"
"お前","お前 御前 おまえ おまい おめー おめえ pn:    (fam) (male) (formerly honorific, now oft. derog. term referring to an equal or inferior) you/  (おまえ only) presence (of a god, nobleman, etc.)/(P)"
"お祖父さん","お祖父さん 御祖父さん 御爺さん お爺さん おじいさん n:    (uk) (usu. お祖父さん) (See 祖父さん) grandfather/  (uk) (usu. お爺さん) male senior-citizen/(P)"
"お祖母さん","お祖母さん 御婆さん お婆さん 御祖母さん おばあさん おばーさん オバアサン おバアさん オバーサン おバーさん n:    (uk) (usu. お祖母さん) (See 祖母さん・1) grandmother/  (uk) (usu. お婆さん) (See 婆さん・2) old woman/female senior citizen/(P)"
"お婆さん","お婆さん お祖母さん 御婆さん 御祖母さん おばあさん おばーさん オバアサン おバアさん オバーサン おバーさん n:    (uk) (usu. お祖母さん) (See 祖母さん・1) grandmother/  (uk) (usu. お婆さん) (See 婆さん・2) old woman/female senior citizen/(P)"
"お袋","お袋 御袋 お母 おふくろ オフクロ n:  (col) (uk) one's mother/(P)"
"お代わり","お代わり お替わり 御代わり 御代り お代り お替り おかわり n vs:    (See 代わり・かわり・4) another helping/second helping/seconds/refill/(int)   (uk) (See お手・おて・3) command to have dog place its second paw in one's hand/(P)"
"お宅","お宅 御宅 おたく n:    (hon) your house/your home/your family/  (hon) your husband/  (hon) your organization/(pn)   (hon) (referring to someone of equal status with whom one is not especially close) you/(P)"
"お誕生日おめでとう","お誕生日おめでとう  おたんじょうびおめでとう int:  happy birthday!"
"お知らせ","お知らせ 御知らせ 御報せ お報せ おしらせ n vs:  (See 知らせ・1) notice/notification"
"お茶","お茶 御茶 おちゃ n:    (pol) (See 茶・1) tea (usu. green)/  tea break (at work)/  (See 茶の湯) tea ceremony/(P)"
"お中元","お中元 御中元 おちゅうげん n:  (See 中元・2) mid-year gift/summer gift/(P)"
"お釣り","お釣り 御釣 御釣り おつり n:  (pol) (See 釣り・2) change (for a purchase)/(P)"
"お土産","お土産 御土産 おみやげ おみあげ n:    (pol) (See 土産・1) local specialty or souvenir bought as a gift while travelling/  (pol) present brought by a visitor/  (pol) something unpleasant that one is given (e.g. an illness while on vacation)/unwelcome gift/disservice/(P)"
"お任せ","お任せ 御任せ おまかせ n vs:  (See 任せる・1,任せる・2) leaving a decision to someone else (often of a meal to be selected by the chef)"
"お年玉","お年玉 御年玉 おとしだま n:  (See 年玉) New Year's gift (usu. money given to a child by relatives and visitors)/(P)"
"お婆ちゃん","お婆ちゃん 御祖母ちゃん 御婆ちゃん お祖母ちゃん おばあちゃん n:  (uk) (fam) granny/grandma/gran/female senior-citizen/(P)"
"お疲れ様","お疲れ様 御疲れ様 お疲れさま おつかれさま exp:    thank you/many thanks/much appreciated/  that's enough for today/(P)"
"お父さん","お父さん 御父さん おとうさん おとっさん n:    (hon) (See 父さん) father/dad/papa/pa/pop/daddy/dada/  (hon) husband/(pn)   (col) (of person older than speaker) you/he/him/(P)"
"お風呂","お風呂 御風呂 おふろ n:  (See 風呂・1) bath"
"お腹","お腹 お中 御腹 御中 おなか n:  (pol) belly/abdomen/stomach/(P)"
"御中","御中 お中 御腹 お腹 おなか n:  (pol) belly/abdomen/stomach/(P)
御中  おんちゅう n-suf:  and Company/Messrs/for the attention of .../(P)"
"お弁当","お弁当 御弁当 おべんとう n:  (See 弁当) bento/Japanese box lunch/(P)"
"お母さん","お母さん 御母さん おかあさん n:    (hon) (See 母さん・1) mother/mom/mum/ma/  (hon) wife/(P)"
"お坊さん","お坊さん 御坊さん おぼうさん n:    (fam) (hon) (See 坊さん・1) Buddhist priest/monk/  (fam) (hon) (See お坊っちゃん・おぼっちゃん・1) son (of others)/(P)"
"お盆","お盆 御盆 おぼん n:    (See 盆・ぼん・3) O-Bon/Bon Festival/Lantern Festival/Festival of the Dead/  (See 盆・ぼん・1) tray"
"お目にかかる","お目にかかる お目に掛かる 御目に掛かる 御目にかかる おめにかかる exp v5r:    (hum) (See 会う,目にかかる) to meet (someone of higher status)/  (arch) to be recognized (esp. by someone of higher status)/to be visible/to be seen/to be noticed"
"お礼","お礼 御礼 おれい おんれい n:    (pol) thanks/gratitude/  (pol) manners/etiquette/  (pol) bow/  (pol) reward/gift/  (pol) ceremony/ritual/(P)"
"お詫び","お詫び 御詫び おわび n vs:  (See 詫び・わび) apology/(P)"
"かき回す","かき回す 掻き回す かきまわす v5s vt:    to stir/to churn/to poke (a fire)/to disturb (water)/  to rummage around/  to throw into confusion/to throw into chaos/to disturb"
"かき氷","かき氷 欠氷 掻き氷 欠き氷 カキ氷 かきごおり カキごおり n:  shaved ice (usually served with flavored simple syrup)/Italian ice/snow cone/sno-cone/(P)"
"かっこ悪い","かっこ悪い カッコ悪い 格好悪い かっこわるい カッコわるい かっこうわるい adj-i:  unattractive/ugly/unstylish/uncool"
"から","から   prt:    from (e.g. time, place, numerical quantity)/since/  from (originator)/by/  (follows verbs, adjectives) because/since/  out of (constituent, part)/  through (e.g. window, vestibule)/  (following the te-form of a verb) after/since/  (See いいから・1) expresses sympathy or warning/(P)"
"からから","からから カラカラ  adj-na adj-no:    (on-mim) parched/dried-up/bone-dry/(adj-na)   (on-mim) empty/hollow/(adv,adv-to)   (on-mim) rattling/clattering/  (on-mim) laughing loudly/roaring with laughter"
"傘","傘 から傘 唐傘 からかさ n:  paper umbrella/bamboo-and-paper umbrella parasol
傘  かさ n:    umbrella/parasol/  (See 笠・かさ・2) something shaped like an umbrella or a conical hat/shade (of a lamp)/mushroom cap/pileus/(P)"
"かんかん","かんかん   n:    (chn) (See 髪) hair/  (chn) (See かんざし) ornamental hairpin
かんかん カンカン  adj-na adv adv-to:    (on-mim) extremely angry/furious/enraged/(adv,adv-to)   (on-mim) fiercely (shine)/blazingly/intensely/  (on-mim) merrily (burn away)/red-hot/  (on-mim) with a clang"
"か弱い","か弱い  かよわい adj-i:  weak/feeble/delicate/frail/helpless/(P)"
"がさがさ","がさがさ ガサガサ  adv adv-to vs:    (on-mim) rustling/(adj-na,adj-no,adv,vs)   (on-mim) dry/rough feeling/rough to the touch/(adv,vs)   (on-mim) rough (of a person)/course/crude/unrefined/uncouth/(n,vs)   catching fish with a net/(P)"
"がっかり","がっかり ガッカリ  vs adv:    (on-mim) to be disappointed/to be dejected/to be downhearted/to lose heart/to feel let down/  (on-mim) to feel exhausted/to feel drained/(P)"
"がっしり","がっしり   adv adv-to vs:  (on-mim) firmly/solidly/sturdily/strongly/toughly/(P)"
"がっちり","がっちり ガッチリ  adv adv-to vs:    (on-mim) solid/robust/well-built/  (on-mim) tight/taut/  (on-mim) shrewd/calculating/astute/(P)"
"がぶがぶ","がぶがぶ ガブガブ  adv adv-to:    (on-mim) gulping down (a drink)/guzzling/chugging/(adj-na)   (on-mim) sloshing around (of liquid in one's stomach)/(P)"
"がやがや","がやがや ガヤガヤ かやかや カヤカヤ  adv adv-to vs:    (on-mim) noisily (crowd of people talking)/clamorously/in a hubbub/jabberingly/chatteringly/buzzingly/(adv,adv-to)   (かやかや, カヤカヤ only) (on-mim) (arch) loudly (laughing)/(P)"
"キー","キー きーっ きー キーッ キーっ  n:  (on-mim) screech/squeak/squeal
キー   n:  key (lock, keyboard, piano, clue, island, cay, etc.)/(P)"
"きちんと","きちんと   adv vs:    (on-mim) properly/accurately/exactly/precisely/regularly/  (on-mim) neatly/tidily/orderly/(P)"
"きっちり","きっちり キッチリ  adv adv-to vs:    (on-mim) exactly/precisely/punctually/on the dot/  (on-mim) closely/tightly/(fitting) perfectly/  (on-mim) properly/without fail/(P)"
"きっぱり","きっぱり キッパリ  adv adv-to vs:  (on-mim) clearly/plainly/distinctly/decisively/flatly/definitely/resolutely/(P)"
"きつい","きつい キツい  adj-i:    (sometimes written 緊い) tough/hard/severe/demanding/harsh/  determined/strong-minded/forceful/formidable/fierce/  strong (e.g. sunlight, alcohol)/severe/intense/  (too) tight/constricting/close/  extreme/unusually strong/(P)"
"きまり悪い","きまり悪い 極まり悪い 決まり悪い 決り悪い きまりわるい adj-i:  feeling awkward/being ashamed/being bashful"
"きらきら","きらきら キラキラ  adv adv-to vs:  (on-mim) glittering/sparkling/glistening/twinkling/(P)"
"ぎこちない","ぎこちない ぎごちない  adj-i:  awkward/clumsy/stiff/crude/unrefined/constrained/(P)"
"ぎっしり","ぎっしり ぎっちり ギッチリ ギッシリ  adv adv-to:  (on-mim) tightly (packed)/densely/closely/crammed/(P)"
"ぎゅうぎゅう","ぎゅうぎゅう   adv adv-to:    (on-mim) creaking/squeaking/(adv,adv-to,adj-na)   (on-mim) packing in tightly/cramming/squeezing/(adv,adv-to)   (on-mim) hard (pressing, tying, twisting, etc.)/tightly/with force/(adv,adj-na,adj-no)   (on-mim) going hard (on someone)/tormenting (e.g. with questions)/(P)"
"ぎょっと","ぎょっと ギョッと  adv vs:  (on-mim) being startled/(P)"
"ぎりぎり","ぎりぎり ギリギリ  adv adv-to:    (on-mim) grinding (sound)/grating/gnashing/  (on-mim) forcefully/strongly/with effort/(binding) tightly/(P)
ぎりぎり 限り限り ぎりぎり ギリギリ adj-na adj-no n-adv:  (on-mim) (uk) just barely/only just/at the very limit/at the last moment/(P)"
"くしゃくしゃ","くしゃくしゃ クシャクシャ  adj-no adj-na adv adv-to:    (on-mim) crumpled/rumpled/wrinkled/creased/tousled/disheveled/dishevelled/(vs,adv)   (on-mim) to be annoyed/to be irritated/to be upset/(adv,adv-to)   (on-mim) noisily (chewing)/(P)"
"籤引","籤引 くじ引き 籤引き くじびき n vs:  lottery/drawn lot/(P)"
"くたばる","くたばる   v5r vi:    (derog) to kick the bucket/to drop dead/to die/to croak/  to be pooped/to be exhausted/to be knackered/(P)"
"くっ付く","くっ付く 食っ付く くっつく v5k vi:    (uk) to adhere to/to stick to/to cling to/  (uk) to keep close to/to go along with/  (uk) to get involved with/to be thick with/to become intimate/(P)"
"くっ付ける","くっ付ける くっ着ける 食っ付ける くっつける v1:    (uk) to attach/to stick together/to paste/to glue/  (uk) to place together/to put side-by-side/  (uk) (col) to make someone get married/to get someone hitched/(P)"
"くどくど","くどくど   adv adv-to vs:  (on-mim) tediously/repetitively/insistently/ad nauseam/at great length/(P)"
"くよくよ","くよくよ クヨクヨ  vs:    (on-mim) to fret (over)/to brood (about)/to mope/to worry/(adv,adv-to)   (on-mim) worriedly/(fretting) constantly/(worrying) over this and that/(obsessing) to no end/(P)"
"くるくる","くるくる クルクル  adv adv-to vs:    (on-mim) whirling/revolving/spinning/going round and round/  (on-mim) coiling around/winding around/rolling around/  (on-mim) working tirelessly/working hard/  (on-mim) constantly changing/(P)"
"ぐっしょり","ぐっしょり   adv adv-to:  (on-mim) (See びっしょり) soaking (wet)/wringing/dripping/drenched"
"ぐっすり","ぐっすり グッスリ  adv adv-to:  (on-mim) soundly (sleeping)/fast (asleep)/(P)"
"ぐったり","ぐったり グタリ グッタリ ぐたり  adv adv-to vs:  (on-mim) limply/wearily/listlessly/languidly/exhaustedly/unenergetically/(P)"
"ぐるぐる","ぐるぐる グルグル  adv adv-to:    (on-mim) (turning) round and round/in circles/  (on-mim) wrapping around/winding around/(P)"
"ぐるっと","ぐるっと ぐるりと  adv:    (on-mim) turning round/going around/turning about/rotating/  (on-mim) surrounding/encircling/(P)"
"ぐるり","ぐるり   n:  (also written 周) surroundings/circumference/(P)"
"けじめ","けじめ ケジメ  n:  distinction (e.g. between right and wrong, public and private, etc.)/(P)"
"こそこそ","こそこそ   adv adv-to vs:  (on-mim) (See こっそり) sneakily/secretly/stealthily/(P)"
"こっそり","こっそり コッソリ  adv adv-to:  (on-mim) (See こそこそ) stealthily/secretly/(P)"
"こつこつ","こつこつ コツコツ  adv-to adv:    (on-mim) unflaggingly/steadily/untiringly/laboriously/  (on-mim) knocking/tapping/clicking/drumming/(P)"
"こと","こと   prt:    (particle always used at sentence-end) particle indicating a command/  (fem) (often as ことね) particle indicating mild enthusiasm/  particle indicating a gentle interrogative/  (at sentence end as ことよ) particle used to soften a judgment or conclusion
こと 縡 事 こと こん n:    (uk) thing/matter/  (uk) incident/occurrence/event/something serious/trouble/crisis/  (uk) circumstances/situation/state of affairs/  (uk) work/business/affair/  (uk) after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to/(n-suf)   (uk) (See 事・ごと・1) nominalizing suffix/  (uk) (See 事・ごと・2) pretending to .../playing make-believe .../(n)   (uk) (as AことB (A = alias, B = real name)) alias/also known as/otherwise known as/or/  (uk) (as 〜ことはない) necessity/need/  (uk) (as 〜ことだ) you should .../I advise that you .../it's important to .../(P)"
"この間","この間 此の間 このあいだ このかん n-t n-adv:    the other day/lately/recently/during this period/  (このかん only) meanwhile/in the meantime/(P)"
"この頃","この頃 此の頃 このごろ このころ n-adv n-t:  these days/nowadays/now/at present/recently/lately/(P)
この頃 此の頃 このころ n-adv n-t:  (See その頃・そのころ) in those days/at the time/then"
"この世","この世 此の世 このよ n:  this world/world of the living"
"この前","この前 此の前 このまえ n adj-no:    some time ago/recently/lately/  last (Sunday, etc.)/previous/(P)"
"この度","この度 此の度 此度 このたび こたび n-adv n-t:  this occasion/at this time/now"
"この辺","この辺 此の辺 このへん pn:    this area/around here/  this point/(for) now/(P)"
